CreateMeshBuilder,,,,
AddVertex,-35,0,0,
AddVertex,-35,32,0,
AddVertex,0,32,0,
AddVertex,0,0,0,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,Hotel.bmp,,,
SetTextureCoordinates,0,0.5,9,
SetTextureCoordinates,1,0.5,0,
SetTextureCoordinates,2,1,0,
SetTextureCoordinates,3,1,9,

CreateMeshBuilder,,,,
AddVertex,-35,32,0,
AddVertex,-35,36.5,0,
AddVertex,0,36.5,0,
AddVertex,0,32,0,
AddFace,0,1,2,3
GenerateNormals,,,,
LoadTexture,Hotel.bmp,,,
SetTextureCoordinates,0,0.125,1,
SetTextureCoordinates,1,0.125,0,
SetTextureCoordinates,2,0.5,0,
SetTextureCoordinates,3,0.5,1,

CreateMeshBuilder,,,,
AddVertex,-22.7,36.5,0.3,
AddVertex,-22.7,42,0.3,
AddVertex,-12.5,42,0.3,
AddVertex,-12.5,36.5,0.3,
AddFace,0,1,2,3
GenerateNormals,,,
LoadTexture,Hotel.bmp,,
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,0.125,0
SetTextureCoordinates,3,0.125,1
